Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-05-13,1.44,1.44,1.44,1.44
2019-05-14,1.44,1.44,1.44,1.44
2019-05-15,1.44,1.44,1.44,1.44
2019-05-16,1.44,1.44,1.44,1.44
2019-05-17,1.44,1.44,1.44,1.44
2019-05-20,1.44,1.44,1.44,1.44
2019-05-21,1.44,1.44,1.44,1.44
2019-05-22,1.44,1.44,1.44,1.44
2019-05-23,1.44,1.44,1.44,1.44
2019-05-24,1.44,1.44,1.44,1.44
2019-05-27,1.44,1.44,1.44,1.44
2019-05-28,1.44,1.44,1.44,1.44
2019-05-29,1.44,1.44,1.44,1.44
2019-05-30,1.44,1.44,1.44,1.44
2019-05-31,1.44,1.44,1.44,1.44
2019-06-03,1.44,1.44,1.44,1.44
2019-06-04,1.44,1.44,1.44,1.44
2019-06-05,1.44,1.44,1.44,1.44
2019-06-06,1.44,1.44,1.44,1.44
2019-06-07,1.44,1.44,1.44,1.44
2019-06-10,1.44,1.44,1.44,1.44
2019-06-11,1.44,1.44,1.44,1.44
2019-06-12,1.44,1.44,1.44,1.44
2019-06-13,1.44,1.44,1.44,1.44
2019-06-14,1.44,1.44,1.44,1.44
2019-06-17,1.44,1.44,1.44,1.44
2019-06-18,1.44,1.44,1.44,1.44
2019-06-19,1.44,1.44,1.44,1.44
2019-06-21,1.44,1.44,1.44,1.44
2019-06-24,1.44,1.44,1.44,1.44
2019-06-25,1.44,1.44,1.44,1.44
2019-06-26,1.44,1.44,1.44,1.44
2019-06-27,1.44,1.44,1.44,1.44
2019-06-28,1.44,1.44,1.44,1.44
2019-07-01,1.44,1.44,1.44,1.44
2019-07-02,1.44,1.44,1.44,1.44
2019-07-03,1.44,1.44,1.44,1.44
2019-07-04,1.44,1.44,1.44,1.44
2019-07-05,1.44,1.44,1.44,1.44
2019-07-08,1.44,1.44,1.44,1.44
2019-07-09,1.44,1.44,1.44,1.44
2019-07-10,1.44,1.44,1.44,1.44
2019-07-11,1.44,1.44,1.44,1.44
2019-07-12,1.44,1.44,1.44,1.44
2019-07-15,1.44,1.44,1.44,1.44
2019-07-16,1.44,1.44,1.44,1.44
2019-07-17,1.44,1.44,1.44,1.44
2019-07-18,1.44,1.44,1.44,1.44
2019-07-19,1.44,1.44,1.44,1.44
2019-07-22,1.44,1.44,1.44,1.44
2019-07-23,1.44,1.44,1.44,1.44
2019-07-24,1.44,1.44,1.44,1.44
2019-07-25,1.44,1.44,1.44,1.44
2019-07-26,1.44,1.44,1.44,1.44
2019-07-29,1.44,1.44,1.44,1.44
2019-07-30,1.44,1.44,1.44,1.44
2019-07-31,1.44,1.44,1.44,1.44
2019-08-01,1.44,1.44,1.44,1.44
2019-08-02,1.44,1.44,1.44,1.44
2019-08-05,1.44,1.44,1.44,1.44
2019-08-06,1.44,1.44,1.44,1.44
2019-08-07,1.44,1.44,1.44,1.44
2019-08-08,1.44,1.44,1.44,1.44
2019-08-09,1.44,1.44,1.44,1.44
2019-08-12,1.44,1.44,1.44,1.44
2019-08-13,1.44,1.44,1.44,1.44
2019-08-14,1.44,1.44,1.44,1.44
2019-08-16,1.44,1.44,1.44,1.44
2019-08-19,1.44,1.44,1.44,1.44
2019-08-20,1.44,1.44,1.44,1.44
2019-08-21,1.44,1.44,1.44,1.44
2019-08-22,1.44,1.44,1.44,1.44
2019-08-23,1.44,1.44,1.44,1.44
2019-08-26,1.44,1.44,1.44,1.44
2019-08-27,1.44,1.44,1.44,1.44
2019-08-28,1.44,1.44,1.44,1.44
2019-08-29,1.44,1.44,1.44,1.44
2019-08-30,1.44,1.44,1.44,1.44
2019-09-02,1.44,1.44,1.44,1.44
2019-09-03,1.44,1.44,1.44,1.44
2019-09-04,1.44,1.44,1.44,1.44
